"","n","mean","sd","sigma_low_0.01","sigma_high_0.01","sigma_low_0.05","sigma_high_0.05","skewness","kurtosis","median","Q1","Q3","IQR","IQR1.5_below_Q1","IQR1.5_above_Q3","IQR1.0_below_Q1","IQR1.0_above_Q3","min","max","q0.001","q0.999","q0.005","q0.995","q0.025","q0.975","outlier_left_highest_0.01","outlier_right_lowest_0.01","outlier_left_highest_0.05","outlier_right_lowest_0.05","mode","density_median_low","density_median_high","density_IQR"
"h.iqr",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,117.652,3.655,77.068,19.566,12.631,30.63,17.999
"h.amise",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,121.531,-999,76.661,23.096,14.491,32.947,18.456
"h.bcv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,112.135,4.976,77.388,18.755,12.486,30.427,17.941
"h.ccv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,112.135,5.063,77.464,18.713,12.48,30.425,17.945
"h.mcv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,112.942,4.562,77.217,18.862,12.513,30.453,17.94
"h.mlcv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,121.531,-999,76.661,20.862,13.223,31.099,17.876
"h.tcv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,112.135,5.063,77.464,18.718,12.48,30.425,17.945
"h.ucv",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,1.859,112.135,5.188,77.464,18.693,12.474,30.421,17.947
"h.knn",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,105.308,-999,76.661,19.335,12.872,30.796,17.924
"h.var",10000,33.658,27.016,-36.043,103.358,-20.373,87.689,6.753,109.431,26.933,18.482,40.844,22.361,-15.06,74.385,-3.879,63.205,1.859,734.577,3.655,287.854,6.326,146.108,9.247,92.289,-999,121.531,-999,76.661,23.228,14.229,32.557,18.328
